Compound,Reference Compound,SMILES,PelePhysics Key,Weight %
Toluene,toluene,CC1=CC=CC=C1,C6H5CH3,0.17
C2-Benzene,ethyl benzene ,CCC1=CC=CC=C1,C6H5C2H5,1.1
C3-Benzene,propyl benzene,CCCC1=CC=CC=C1,C6H5C3H7,2.97
C4-Benzene,butyl benzene,CCCCC1=CC=CC=C1,C6H5C4H9,3.32
C5-Benzene,pentyl benzene,CCCCCC1=CC=CC=C1,C6H5C5H11,2.22
C6-Benzene,hexyl benzene,CCCCCCC1=CC=CC=C1,C6H5C6H13,1.45
C7-Benzene,heptyl benzene,CCCCCCCC1=CC=CC=C1,C6H5C7H15,0.73
C8-Benzene,octyl benzene,CCCCCCCCC1=CC=CC=C1,C6H5C8H17,0.52
C9-Benzene,nonyl benzene,CCCCCCCCCC1=CC=CC=C1,C6H5C9H19,0.42
Diaromatic-C10,naphthalene,C1=CC2=CC=CC=C2C=C1,NAPH,0.22
Diaromatic-C11,1-methyl naphthalene,CC1=CC2=CC=CC=C2C=C1,METHYLNAPH-1,0.66
Diaromatic-C12,1-ethyl naphthalene,CCC1=CC2=CC=CC=C2C=C1,ETHYLNAPH-1,0.86
Diaromatic-C13,1-propyl naphthalene,CCCC1=CC2=CC=CC=C2C=C1,PROPYLNAPH-1,0.6
Cycloaromatic-C09,indane,C1CC2=CC=CC=C2C1,INDANE,0.02
Cycloaromatic-C10,tetralin,C1CCC2=CC=CC=C2C1,TETRA,0.26
Cycloaromatic-C11,2-methyl tetralin,CC1CCC2=CC=CC=C2C1,METHYLTETRA-2,0.66
Cycloaromatic-C12,2-ethly tetralin,CCC1CCC2=CC=CC=C2C1,ETHYLTETRA-2,0.89
Cycloaromatic-C13,2-propyl tetralin,CCCC1CCC2=CC=CC=C2C1,PROPYLTETRA-2,0.85
Cycloaromatic-C14,2-butyl tetralin,CCCCC1CCC2=CC=CC=C2C1,BUTYLTETRA-2,0.61
C07-Isoparaffin,2-methyl hexane,CC(C)CCCC,C7H16-2,0.15
C08-Isoparaffin,2-methyl heptane,CC(C)CCCCC,C8H18-2,0.44
C09-Isoparaffin,2-methyl octane,CC(C)CCCCCC,C9H20-2,1.05
C10-Isoparaffin,2-methyl nonane,CC(C)CCCCCCC,C10H22-2,4.2
C11-Isoparaffin,2-methyl decane,CC(C)CCCCCCCC,C11H24-2,5.7
C12-Isoparaffin,2-methyl undecane,CC(C)CCCCCCCCC,C12H26-2,5.63
C13-Isoparaffin,2-methyl dodecane,CC(C)CCCCCCCCCC,C13H28-2,4.22
C14-Isoparaffin,2-methyl tridecane,CC(C)CCCCCCCCCCC,C14H30-2,4.2
C15-Isoparaffin,2-methyl tetradecane,CC(C)CCCCCCCCCCCC,C15H32-2,2.51
C16-Isoparaffin,2-methyl pentadecane,CC(C)CCCCCCCCCCCCC,C16H34-2,1.0
C17-Isoparaffin,2-methyl hexadecane,CC(C)CCCCCCCCCCCCCC,C17H36-2,0.39
C18-Isoparaffin,2-methyl heptadecane,CC(C)CCCCCCCCCCCCCCC,C18H38-2,0.11
C19-Isoparaffin,2-methyl octadecane,CC(C)CCCCCCCCCCCCCCCC,C19H40-2,0.03
C20-Isoparaffin,2-methyl nonadecane,CC(C)CCCCCCCCCCCCCCCCC,C20H42-2,0.03
n-C07,n-heptane,CCCCCCC,NC7H16,0.17
n-C08,n-octane,CCCCCCCC,NC8H18,0.54
n-C09,n-nonane,CCCCCCCCC,NC9H20,1.42
n-C10,n-decane,CCCCCCCCCC,NC10H22,3.26
n-C11,n-undecane,CCCCCCCCCCC,NC11H24,4.29
n-C12,n-dodecane,CCCCCCCCCCCC,NC12H26,3.74
n-C13,n-tridecane,CCCCCCCCCCCCC,NC13H28,2.8
n-C14,n-tetradecane,CCCCCCCCCCCCCC,NC14H30,2.02
n-C15,n-pentadecane,CCCCCCCCCCCCCCC,NC15H32,1.03
n-C16,n-hexadecane (cetane),CCCCCCCCCCCCCCCC,NC16H34,0.43
n-C17,n-heptadecane,CCCCCCCCCCCCCCCCC,NC17H36,0.21
n-C18,n-octadecane,CCCCCCCCCCCCCCCCCC,NC18H38,0.06
C07-Monocycloparaffin,methyl cyclohexane,CC1CCCCC1,C6H11CH3,0.36
C08-Monocycloparaffin,ethyl cyclohexane,CCC1CCCCC1,C6H11C2H5,0.78
C09-Monocycloparaffin,propyl cyclohexane,CCCC1CCCCC1,C6H11C3H7,2.3
C10-Monocycloparaffin,butyl cyclohexane,CCCCC1CCCCC1,C6H11C4H9,4.11
C11-Monocycloparaffin,pentyl cyclohexane,CCCCCC1CCCCC1,C6H11C5H11,5.43
C12-Monocycloparaffin,hexyl cyclohexane,CCCCCCC1CCCCC1,C6H11C6H13,3.73
C13-Monocycloparaffin,heptyl cyclohexane,CCCCCCCC1CCCCC1,C6H11C7H15,4.19
C14-Monocycloparaffin,octyl cyclohexane,CCCCCCCCC1CCCCC1,C6H11C8H17,2.19
C15-Monocycloparaffin,nonyl cyclohexane,CCCCCCCCCC1CCCCC1,C6H11C9H19,1.33
C16-Monocycloparaffin,decyl cyclohexane,CCCCCCCCCCC1CCCCC1,C6H11C10H21,0.42
C17-Monocycloparaffin,undecyl cyclohexane,CCCCCCCCCCCC1CCCCC1,C6H11C11H23,0.24
C08-Dicycloparaffin,Octahydropentalene,C1CC2CCCC2C1,OHPEN,0.03
C09-Dicycloparaffin,Hydrindane,C1CCC2CCCC2C1,HYDRIND,0.43
C10-Dicycloparaffin,Decalin,C1CCC2CCCCC2C1,DECALIN,0.72
C11-Dicycloparaffin,2-methyldecalin,CC1CCC2CCCCC2C1,METHYLDECALIN-2,1.52
C12-Dicycloparaffin,2-ethyldecalin,CCC1CCC2CCCCC2C1,ETHYLDECALIN-2,1.57
C13-Dicycloparaffin,2-propyldecalin,CCCC1CCC2CCCCC2C1,PROPYLDECALIN-2,1.21
C14-Dicycloparaffin,2-butyldecalin,CCCCC1CCC2CCCCC2C1,BUTYLDECALIN-2,0.81
C15-Dicycloparaffin,2-pentyldacalin,CCCCCC1CCC2CCCCC2C1,PENTYLDECALIN-2,0.27
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,C1CC2C(C1)C1CCCC21,TRICYCLO-C10,0.0
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,C1CC2CC3CCCC3C2C1,TRICYCLO-C11,0.16
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,C1CC2CC3CCCC3CC2C1,TRICYCLO-C12,0.0
