Temperature,Density,VaporPressure,Viscosity,SurfaceTension,ThermalConductivity,HeatCapacity
Celsius,g/cm^3,kPa,mm^2/s,N/m,W/(m*K),kJ/(kg*K)
-40,,,14.1,,,
-20,,,6.5,,,
-10,,,,0.02842143,,1.809232472
0,0.838691667,0.04835033,,,,1.850945723
10,,,,,,1.888953307
20,0.823933333,0.338452307,,0.025727511,,1.920644544
30,,,,,0.117980769,1.95028412
40,0.80975,0.435152966,1.57,0.024724939,,1.988591385
50,,,,,,2.017821782
60,,1.305458899,,,,2.060491707
70,,,,,,2.087007688
75,,,,,0.108942308,
80,,3.336172742,,,,2.131216358
90,,,,,,2.168711027
100,,6.382243506,0.76,,,2.21016494
110,,,,,,2.250350972
120,,13.77984393,,,,2.288128033
125,,,,,0.100865385,
130,,,,,,2.328342881
140,,,,,,2.369145564
150,,,,,,2.409671619
160,,,,,,2.45891723
