Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
180.0,549.8559805147336,0.005129240334890255,0.033840100182005096,513862.770635734,0.096051417836402,774.2568543239793,1094.749165722449,0.1571452990948744
190.0,549.8559805147336,0.0035395284882492324,0.03272520708646881,508538.2969043534,0.43700268975189105,767.0466238783038,1142.8074892734696,0.15412191195129027
200.0,549.8559805147336,0.0025663145341998372,0.03161717837016005,503121.2766392946,1.6827848624400443,759.7609943156356,1190.4643316000002,0.15118220491064252
210.0,549.8559805147336,0.0019363781732352893,0.030516166194749065,497607.38512428943,5.62095390174008,752.3964128307308,1237.719692702041,0.14831437932862382
220.0,549.8559805147336,0.001509495741684121,0.029422330658930948,491991.9610561635,16.616260162267604,744.9490515440436,1284.5735725795919,0.14550811581117618
230.0,549.8559805147336,0.001208919262746569,0.028335840464982248,486269.96923809155,44.194394140277666,737.4147771001582,1331.0259712326533,0.1427542787219825
240.0,549.8559805147336,0.0009903125101410925,0.02725687366383508,480435.95782825345,107.21799928845698,729.7891158353686,1377.0768886612245,0.14004468185430882
250.0,549.8559805147336,0.0008268607011264274,0.026185618490744546,474484.009145659,240.00659330505215,722.067213702378,1422.7263248653067,0.13737189937054886
260.0,549.8559805147336,0.0007016942526894355,0.025122274305947156,468407.6828120206,500.5443957967866,714.2437899587454,1467.974279844898,0.13472911043575397
270.0,549.8559805147336,0.0006038313067466374,0.024067052657569876,462199.94972638105,980.6224132764373,706.3130833961025,1512.8207536,0.1321099689352531
280.0,549.8559805147336,0.0005259059558529356,0.02302017848760469,455853.1150092437,1817.4317372362796,698.2687895942116,1557.2657461306126,0.12950849171320708
290.0,549.8559805147336,0.0004628458069951798,0.021981891506208218,449358.7275900447,3205.833972728549,690.1039873071533,1601.309257436735,0.12691896018006876
300.0,549.8559805147336,0.00041107528649495336,0.020952447765187836,442707.4735113392,5410.3438157781,681.8110516000688,1644.9512875183675,0.1243358310926389
310.0,549.8559805147336,0.00036802081576830685,0.01993212146865363,435889.0492369096,8775.8063465403,673.3815507147065,1688.1918363755105,0.12175365292476398
320.0,549.8559805147336,0.0003317949877620114,0.018921207067939604,428892.0102114234,13735.846054129675,664.8061227952722,1731.0309040081634,0.11916698458825101
330.0,549.8559805147336,0.0003009899926462933,0.01792002169970539,421703.5885297664,20818.386814986454,656.0743274739834,1773.4684904163269,0.11657031336692249
340.0,549.8559805147336,0.0002745394768587173,0.01692890804156937,414309.47169530677,30647.85346640013,647.1744657844176,1815.5045956000001,0.11395796879794974
350.0,549.8559805147336,0.000251624288204174,0.015948237680037385,406693.53187364986,43944.018889580235,638.0933597731716,1857.1392195591839,0.11132402885133903
360.0,549.8559805147336,0.00023160697202785895,0.014978415112810685,398837.4914772245,61517.80937297521,628.816080267441,1898.3723622938778,0.10866221406488501
370.0,549.8559805147336,0.00021398547242045492,0.01401988254460526,390720.505884212,84264.68761797721,619.3256071498897,1939.2040238040818,0.10596576418689445
380.0,549.8559805147336,0.00019835989057623025,0.013073125686591384,382318.6368885134,113156.4717074027,609.6024006079003,1979.634204089796,0.10322729019386262
390.0,549.8559805147336,0.00018440826360141365,0.012138680840832108,373604.1799677352,149232.6078174807,599.6238532380075,2019.6629031510206,0.10043859200942187
400.0,549.8559805147336,0.00017186866454877838,0.011217143652519431,364544.7928207353,193591.99480258112,589.3635801036219,2059.2901209877555,0.097590428401638
410.0,549.8559805147336,0.00016052578655523206,0.010309180059999907,355102.3488421866,247386.47005174734,578.7904843844129,2098.5158576000003,0.09467221962164984
420.0,549.8559805147336,0.00015020073760054953,0.00941554019096868,345231.4021089109,311817.0247778616,567.8675058801888,2137.340112987755,0.09167165407168786
430.0,549.8559805147336,0.0001407431441265686,0.008537076285392188,334877.09095302114,388133.74328715005,556.5499108581018,2175.7628871510205,0.08857415536493678
440.0,549.8559805147336,0.00013202490594785374,0.007674766245496055,323972.2086458432,477640.376047636,544.7829008526996,2213.784180089796,0.08536214137012216
450.0,549.8559805147336,0.00012393509920595878,0.006829745253351724,312433.00035550725,581704.3812111118,532.4981788511369,2251.4039918040817,0.08201396421278721
460.0,549.8559805147336,0.0001163756068319724,0.006003349307017848,300152.94174570637,701773.2228171546,519.6088612576253,2288.622322293878,0.07850234368203454
470.0,549.8559805147336,0.00010925706630293008,0.005197177001475302,286993.1813972751,839397.7136735237,506.0016514188302,2325.4391715591837,0.07479196200195638
480.0,549.8559805147336,0.00010249463236586608,0.0044131804619466945,272767.18024437566,996263.253013406,491.5242410832198,2361.8545396,0.07083559809112076
490.0,549.8559805147336,9.600276253582288e-05,0.0036538053849374656,257214.6007809645,1174229.9492620833,475.963851330524,2397.8684264163267,0.06656755333110154
500.0,549.8559805147336,8.968746726634783e-05,0.002922219522604612,239953.6212182631,1375382.853433526,459.00794014800204,2433.4808320081634,0.061891636316848436
510.0,549.8559805147336,8.343233614255267e-05,0.0022227150641664166,220385.1249004766,1602093.8785522513,440.16498466509785,2468.6917563755105,0.056656999712151934
520.0,549.8559805147336,7.706779021883768e-05,0.0015614969986624148,197472.51508573964,1857097.470049613,418.5815669329635,2503.5011995183677,0.05060255250488958
