Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
230.0,596.171639602826,0.0016468094875882091,0.03652955403854543,498012.95915541693,374.3090094535247,914.9564923225596,889.9441048802131,0.16008926824803246
240.0,596.171639602826,0.0013427921034345988,0.03531398245104153,492800.345590413,727.0779211717954,907.1349875630958,927.9887073646851,0.1572939474450386
250.0,596.171639602826,0.0011169518546309224,0.03410597231457214,487496.18405026756,1334.8483203070505,899.2239180607796,965.6477153504882,0.15454588076128362
260.0,596.171639602826,0.0009450055459099923,0.03290569302186612,482096.15051571134,2331.693991411981,891.219046041038,1002.9211288376222,0.15183817921524068
270.0,596.171639602826,0.0008112624845620116,0.031713322898082735,476595.580709561,3897.2394340898168,883.1158015398877,1039.8089478260872,0.1491645418236885
280.0,596.171639602826,0.000705267792662561,0.030529049959418172,470989.4319525917,6263.140332805266,874.9092452174092,1076.311172315883,0.14651914380694464
290.0,596.171639602826,0.0006198644130112624,0.029353072762111836,465272.2393870141,9718.252438782472,866.5940256806527,1112.42780230701,0.1438965415773655
300.0,596.171639602826,0.0005500341212614188,0.028185601355923243,459438.0655223161,14612.132671083822,858.1643302963561,1148.1588377994678,0.14129159042799846
310.0,596.171639602826,0.0004921824273457058,0.027026858358888118,453480.4418219135,21356.66294278506,849.6138282430558,1183.5042787932566,0.13869937166385599
320.0,596.171639602826,0.0004436848854981206,0.025877080173547954,447392.30074905086,30425.74148828043,840.9356042590979,1218.4641252883764,0.13611512649698085
330.0,596.171639602826,0.0004025919585718746,0.024736518369061336,441165.89630657213,42353.13130107162,832.1220811679599,1253.038377284827,0.13353419441740244
340.0,596.171639602826,0.0003674326397045097,0.023605441258889796,434792.71061005467,57728.6785474792,823.164928778259,1287.2270347826088,0.13095195399282383
350.0,596.171639602826,0.0003370810814920005,0.022484135710430887,428263.3433893757,77193.20850478012,814.0549561255601,1321.0300977817217,0.12836376416193793
360.0,596.171639602826,0.00031066431086425046,0.021372909231485004,421567.38046705275,101432.47027387991,804.7819831946449,1354.4475662821653,0.12576490407799476
370.0,596.171639602826,0.0002874972732527897,0.020272092389394473,414693.2361376964,131170.5354187727,795.3346871606008,1387.4794402839398,0.12315050942671418
380.0,596.171639602826,0.0002670363893435242,0.019182041632918756,407627.9628643089,167163.06343446483,785.7004167095436,1420.1257197870455,0.1205155028687154
390.0,596.171639602826,0.00024884586290500687,0.0181031426055847,400357.01965801755,210190.83360447153,775.8649659916761,1452.386404791482,0.11785451580782456
400.0,596.171639602826,0.00023257290659561578,0.017035814064049602,392863.98768820876,261053.91399645805,765.8122969944928,1484.2614952972497,0.11516179800705452
410.0,596.171639602826,0.00021792929277092248,0.01598051254836124,385130.21773507097,320566.79960031545,755.5241952627001,1515.7509913043482,0.11243111057498274
420.0,596.171639602826,0.00020467744755107417,0.014937737996455373,377134.3885196783,389554.807986616,744.9798384149058,1546.8548928127773,0.10965559638732865
430.0,596.171639602826,0.00019261984537585902,0.013908040558134995,368851.9469077284,468851.97668924864,734.1552490061808,1577.5731998225383,0.10682761987162541
440.00000000000006,596.171639602826,0.0001815908242599872,0.01289202895227623,360254.3891760075,559300.6653342273,723.0225916706981,1607.9059123336294,0.10393856491406626
450.0,596.171639602826,0.00017145018910056357,0.011890380837830637,351308.3248257175,661753.0301175527,711.5492570440833,1637.8530303460518,0.10097857486914254
460.0,596.171639602826,0.00016207813966315736,0.010903855854703463,341974.23725536274,777074.5106715093,699.6966481783552,1667.414553859805,0.09793621129468291
470.0,596.171639602826,0.00015337117528064592,0.009933312268260807,332204.8128061127,906149.4511963517,687.418542915231,1696.590482874889,0.09479799642070118
480.0,596.171639602826,0.00014523870455550848,0.008979728577818799,321942.6402571466,1049888.9701202183,674.6588370478496,1725.3808173913046,0.09154778549267818
490.0,596.171639602826,0.00013760013329435167,0.008044232124669114,311116.9663400228,1209241.1963859762,661.348357750724,1753.7855574090506,0.08816588344001898
500.0,596.171639602826,0.00013038221891944246,0.007128137841173794,299638.989590669,1385204.0065578846,647.4002351638221,1781.804702928128,0.08462776499456481
510.00000000000006,596.171639602826,0.00012351645751086326,0.006233002168068069,287394.803791809,1578840.4261550389,632.702951213673,1809.4382539485364,0.08090215631111435
520.0,596.171639602826,0.00011693618727949785,0.005360700537937023,274234.38729719707,1791296.9020122653,617.1094724544445,1836.6862104702752,0.07694804127786749
530.0,596.171639602826,0.00011057288954253089,0.004513543202652329,259953.5643292703,2023824.7114469712,600.4194048899778,1863.5485724933453,0.07270975476266206
540.0,596.171639602826,0.00010435068611643998,0.0036944571360352737,244262.58816824012,2277804.850477073,582.347824754502,1890.0253400177462,0.06810843106323249
550.0,596.171639602826,9.817680868341067e-05,0.0029072904897564466,226726.90996025928,2554776.8398701097,562.4663010145673,1916.1165130434783,0.06302586802295376
560.0,596.171639602826,9.192230436893677e-05,0.00215736779770142,206642.84400143748,2856472.007865205,540.0785088410687,1941.8220915705415,0.05727062386499703
570.0,596.171639602826,8.537507575501232e-05,0.0014526347357858823,182732.67425446227,3184851.9565854818,513.9132362782395,1967.1420755989354,0.050494795263355326
580.0,596.171639602826,7.809040678051012e-05,0.0008065253451134645,152183.29983839826,3542153.10148023,481.14697637394573,1992.0764651286606,0.041931321142605026
590.0,596.171639602826,6.857561823814659e-05,0.0002484832272285776,105534.06528661304,3930938.3974823346,432.1080711159587,2016.6252601597162,0.028995251551050854
596.171639602826,596.171639602826,4.819312941116006e-05,0.0,0.0,4187860.1484112223,307.7801855642253,2031.5834694019957,0.0
