Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
240.0,692.0256584683968,0.004967983957156679,0.03594940153848602,490907.77004404936,44.27080260411729,992.4358890724845,937.9986890299136,0.13150431986619385
250.0,692.0256584683968,0.003800772049530719,0.034979776741950935,486752.25838422653,90.61280856781876,985.4520774058939,982.9944287838974,0.1295070151715936
260.0,692.0256584683968,0.0029894685265532787,0.034015014733584356,482538.042826984,174.99061804432617,978.4048327058001,1027.5175554542916,0.12754927293056992
270.0,692.0256584683968,0.002407184931901395,0.03305520284900247,478262.90584102354,320.95928403535413,971.2917523035728,1071.5680690410961,0.12562653783857775
280.0,692.0256584683968,0.001977582934555063,0.03210043209419602,473924.49117665197,562.264781737908,964.1102838532142,1115.1459695443111,0.12373468799152294
290.0,692.0256584683968,0.0016529454872860135,0.031150797392410577,469520.29158204317,945.3516576851987,956.8577121002562,1158.2512569639364,0.12186996512511539
300.0,692.0256584683968,0.0014024331050126507,0.030206397854173946,465047.635096361,1531.899717560935,949.5311441183313,1200.8839312999723,0.12002891621291123
310.0,692.0256584683968,0.001205520088899287,0.029267337073285573,460503.6697139995,2401.25116958217,942.1274927918017,1243.0439925524186,0.11820834403072375
320.0,692.0256584683968,0.0010481852077205542,0.028333723452007655,455885.3461782385,3652.5933078637536,934.6434582840569,1284.7314407212752,0.11640526481885712
330.0,692.0256584683968,0.0009206258998016925,0.02740567055919983,451189.3986192084,5406.777374414804,927.0755071842868,1325.9462758065422,0.11461687156262859
340.0,692.0256584683968,0.0008158451959362998,0.026483297525735038,446412.3226984465,7807.678938957681,919.4198489687964,1366.6884978082194,0.1128405017018065
350.0,692.0256584683968,0.0007287544886873166,0.025566729482244685,441550.35085820785,11023.035664984138,911.6724093437431,1406.9581067263073,0.11107360829604145
360.0,692.0256584683968,0.0006555899334167202,0.0246560980450919,436599.4241951518,15244.73134340085,903.8287999514325,1446.7551025608054,0.1093137338337762
370.0,692.0256584683968,0.0005935244640075054,0.023751541857495926,431555.1603812731,20688.52760227596,895.8842838178657,1486.0794853117143,0.10755848598887617
