Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
220.0,620.0557143469166,0.002995334351877257,0.036856486640276756,502802.65930636716,64.9233507738388,918.2102193559058,926.9260318598385,0.15388680779515898
230.0,620.0557143469166,0.0023197000098969674,0.03573362092842591,497989.1828556553,141.42223973500987,910.9041843120623,966.7592709433966,0.1512886014677897
240.0,620.0557143469166,0.0018464221352903786,0.03461713482901482,493098.5729303802,287.5749149343235,903.5228570146729,1006.1893321293804,0.14874400708768631
250.0,620.0557143469166,0.0015039892142013564,0.03350715854840181,488127.5139637845,550.5030384956403,896.0629924486133,1045.2162154177902,0.1462460768877208
260.0,620.0557143469166,0.0012492647725831968,0.03240382853171581,483072.4535926709,999.1604922544678,888.5211147987904,1083.8399208086257,0.14378855530625842
270.0,620.0557143469166,0.001055190279357171,0.03130728794293598,477929.5786335859,1729.845080762629,880.8934940749133,1122.0604483018872,0.14136575610260715
280.0,620.0557143469166,0.0009042055025022126,0.030217687196652444,472694.78785842075,2871.616693589017,873.1761196231505,1159.8777978975745,0.1389724604756347
290.0,620.0557143469166,0.0007845697591340379,0.029135184548752198,467363.66103528294,4591.250222335619,865.3646700048918,1197.2919695956878,0.13660383135806725
300.0,620.0557143469166,0.0006882242043422647,0.028059946754538587,461931.4235922549,7097.383446191186,857.4544786174043,1234.302963396227,0.13425534016661683
310.0,620.0557143469166,0.0006095065453300549,0.026992149804326484,456392.9061273871,10643.58635805256,849.4404943003589,1270.9107792991915,0.13192270308634305
320.0,620.0557143469166,0.0005443544836658636,0.025931979748420528,450742.4978206271,15530.167394982045,841.3172360088302,1307.1154173045827,0.12960182454250302
330.0,620.0557143469166,0.0004897984709927284,0.02487963362567253,444974.0925926915,22104.631332180063,833.078740427985,1342.9168774123993,0.12728874592254258
340.0,620.0557143469166,0.0004436307169399005,0.023835320512634053,439081.02658917423,30760.801959123324,824.7185011446062,1378.315159622642,0.12497959789368725
350.0,620.0557143469166,0.00040418438737798855,0.022799262713822193,433056.0052280092,41936.71125651067,816.2293976587686,1413.3102639353103,0.1226705548431232
360.0,620.0557143469166,0.0003701833273335025,0.021771697117995325,426891.0176110144,56111.429721763954,807.603612092186,1447.9021903504047,0.12035779006323381
370.0,620.0557143469166,0.000340637895470694,0.02075287675085231,420577.2355329654,73801.06668939929,798.8325308959674,1482.0909388679252,0.11803743032082552
380.0,620.0557143469166,0.00031477154162808015,0.01974307256157788,414104.893579092,95554.2043402377,789.9066281353182,1515.876509487871,0.11570550838638353
390.0,620.0557143469166,0.0002919682505609535,0.018742575489639493,407463.1458201726,121947.04582768136,780.8153259694948,1549.258902210243,0.11335791194913146
400.0,620.0557143469166,0.0002717343825404985,0.017751698869864267,400639.89330252353,153578.55905343202,771.5468266628151,1582.2381170350407,0.11099032708898696
410.0,620.0557143469166,0.0002536705983365156,0.016770781249018478,393621.57475671446,191065.8862745643,762.0879087277782,1614.8141539622648,0.10859817408850855
420.0,620.0557143469166,0.000237450946672346,0.015800189707196897,386392.91052109207,235040.26933778927,752.4236774251224,1646.9870129919143,0.10617653280097106
430.0,620.0557143469166,0.00022280710404779097,0.014840323804201689,378936.58630714717,286143.71424880385,742.5372565458451,1678.7566941239895,0.10372005397422988
440.0,620.0557143469166,0.0002095163640645042,0.013891620307523072,371232.85868826794,345026.59002870234,732.4094037487532,1710.123197358491,0.10122285175503916
450.0,620.0557143469166,0.0001973923835211759,0.012954558908647577,363259.0573990341,412346.32800237986,722.0180250618901,1741.0865226954181,0.09867837089490132
