Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
170.0,563.9600955342268,0.011117203217195405,0.03315736575135655,492108.72156805114,0.003915173629492662,789.3759332546485,1018.2634745435017,0.15746148051069161
180.0,563.9600955342268,0.006954833307121224,0.03213161182940848,487324.1429609662,0.024282212617740582,782.3527468040072,1068.4962355531688,0.1544521407830076
190.0,563.9600955342268,0.004661668177653047,0.031111778046987473,482461.66654290014,0.12204762049794413,775.2619178100392,1118.2916335123523,0.151539308521449
200.0,563.9600955342268,0.0032995692900019843,0.030097987197313197,477517.8888329395,0.5135337298981866,768.1004606439318,1167.6496684210526,0.14870973575509935
210.0,563.9600955342268,0.002439934154557309,0.029090368055490316,472489.1591664564,1.856867206274672,760.8651740064629,1216.5703402792694,0.14595200139987843
220.0,563.9600955342268,0.001869772164758604,0.02808905584673107,467371.55418143765,5.8944213316547645,753.5526187362918,1265.0536490870031,0.1432561421248358
230.0,563.9600955342268,0.0014756557764062249,0.027094192765874225,462160.8488448983,16.71818054959693,746.1590926136126,1313.0995948442537,0.1406133650538185
239.99999999999997,563.9600955342268,0.0011935836250784894,0.026105928555521258,456852.48343129887,42.99032095318359,738.6806016487977,1360.7081775510205,0.13801582056024952
250.0,563.9600955342268,0.0009856311876841359,0.0251244211514132,451441.52574345976,101.46146829398984,731.1128272402815,1407.8793972073038,0.13545641967018726
260.0,563.9600955342268,0.0008283640793467698,0.024149837405255125,445922.6277152461,222.05704571975718,723.4510884546909,1454.6132538131044,0.13292868483192677
270.0,563.9600955342268,0.0007067672863193539,0.023182353897130102,440289.97534573916,454.6425945088987,715.6902985176932,1500.909747368421,0.13042662572889546
280.0,563.9600955342268,0.0006109113591222301,0.022222157852025755,434537.23067534243,877.3526724666579,707.8249143963279,1546.7688778732545,0.1279446338403925
290.0,563.9600955342268,0.0005340449460412335,0.021269448177943746,428657.46421001415,1606.116612404381,699.8488780894261,1592.1906453276047,0.12547739086931373
300.0,563.9600955342268,0.00047146329402623986,0.020324436646738008,422643.075809861,2804.788727528137,691.7555479041106,1637.1750497314715,0.12301978713677236
310.0,563.9600955342268,0.00041981522377419327,0.01938734924344378,416485.7015543205,4695.136276528534,683.5376175586306,1681.722091084855,0.1205668467064563
320.0,563.9600955342268,0.00037666637342557963,0.018458427715705647,410176.103438841,7565.885712936797,675.1870203807792,1725.8317693877552,0.11811365642014673
330.0,563.9600955342268,0.0003402168079891614,0.017537931362378315,403704.0378923879,11780.085595105455,666.6948151190483,1769.5040846401719,0.11565529624338403
340.0,563.9600955342268,0.0003091141699547807,0.016626139109997735,397058.0979533668,17780.20199669311,658.0510488826415,1812.7390368421052,0.11318676835678144
350.0,563.9600955342268,0.0002823274307432525,0.015723351938348534,390225.5223917443,26090.593211836156,649.2445913790631,1855.5366259935554,0.11070292228331079
359.99999999999994,563.9600955342268,0.00025905994536351296,0.014829895732841923,383191.96295421495,37317.280957783856,640.2629327820692,1897.8968520945218,0.10819837299301971
370.0,563.9600955342268,0.00023868851897440146,0.013946124663371208,375941.1979958199,52145.21033620129,631.0919350278976,1939.8197151450054,0.10566740832614568
380.0,563.9600955342268,0.00022072000976503683,0.013072425218918542,368454.77668214793,71333.44061302362,621.7155227868324,1981.3052151450051,0.10310388113991274
390.0,563.9600955342268,0.0002047599550446177,0.012209221067673701,360711.57214390807,95708.91191084281,612.1152953038926,2022.353352094522,0.1005010801767332
399.99999999999994,563.9600955342268,0.0001904895676673473,0.011356978968650944,352687.213568322,126159.57742448684,602.2700329849171,2062.9641259935547,0.09785157155160905
409.99999999999994,563.9600955342268,0.00017764864000374315,0.010516216040203504,344353.35482403974,163627.7743658397,592.1550618024986,2103.137536842105,0.0951469996062798
420.0,563.9600955342268,0.0001660226667509183,0.009687508805132809,335676.71854926914,209104.73490493107,581.7414223069733,2142.873584640172,0.09237783108579235
430.0,563.9600955342268,0.00015543300835185975,0.008871504600090214,326617.8258270605,263627.12196240114,570.9947648700079,2182.172269387755,0.08953301915913066
440.0,563.9600955342268,0.00014572925643185433,0.008068936189816352,317129.2759152451,328276.42837632983,559.873852875857,2221.033591084855,0.08659955198607307
449.99999999999994,563.9600955342268,0.00013678318819528598,0.007280640817654116,307153.3659038519,404182.0178489859,548.3284902939661,2259.457549731471,0.08356183118471369
459.99999999999994,563.9600955342268,0.00012848384198363172,0.006507585546897637,296618.7139874875,492528.528453612,536.2965794968609,2297.4441453276045,0.08040079278403774
470.0,563.9600955342268,0.00012073332863232879,0.0057509017767429765,285435.3278217767,594568.3198728695,523.6998201856364,2334.9933778732543,0.07709262548325019
480.0,563.9600955342268,0.00011344301509637415,0.005011933588558603,273487.1492036004,711639.6383681685,510.43719969012943,2372.1052473684213,0.07360683432609602
489.99999999999994,563.9600955342268,0.00010652965866233071,0.004292307783088837,260620.3053008766,845191.2121940276,496.3747194090751,2408.7797538131035,0.06990318939066567
499.99999999999994,563.9600955342268,9.991086769915244e-05,0.0035940396220073903,246623.62248149185,996814.0878271704,481.3283241034817,2445.0168972073034,0.06592666302341346
509.99999999999994,563.9600955342268,9.349873580308637e-05,0.0029197010042475474,231194.151111619,1168281.687584077,465.0336294501128,2480.81667755102,0.06159846674323076
520.0,563.9600955342268,8.718908831034746e-05,0.0022727066866563604,213870.79882249542,1361599.3274322608,447.08746785119973,2516.179094844253,0.05679878203275101
530.0,563.9600955342268,8.08395646659371e-05,0.0016578484891592248,193890.88651180035,1579064.7991170033,426.8210254537655,2551.1041490870034,0.05132939831204551
540.0,563.9600955342268,7.421432016643743e-05,0.0010824358763394564,169822.35546111074,1823342.117944339,402.9726452565311,2585.5918402792695,0.04481781253776254
550.0,563.9600955342268,6.679374921535934e-05,0.0005593306976974006,138307.84081473984,2097551.200075244,372.5599745455792,2619.6421684210522,0.03638936204465181
560.0,563.9600955342268,5.646683495207721e-05,0.0001199194882296696,85687.47887180747,2405377.1066674422,323.1932462212325,2653.2551335123517,0.022477126128503642
563.9600955342268,563.9600955342268,4.027207852121411e-05,0.0,0.0,2537512.3488700427,232.8034003973662,2666.4452944175223,0.0
