Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
280.0,728.2486427583212,0.004681215879867751,0.02277080725403155,514725.90057238797,0.012878891181709262,785.3585645915355,1543.22216894898,0.1460198742888721
290.0,728.2486427583212,0.0036557394028988496,0.022151472491922824,510331.7973017507,0.043490930270016624,778.8019155633733,1588.7620637959187,0.14392909096686557
300.00000000000006,728.2486427583212,0.0029198710326325387,0.021535270475656638,505875.0807084775,0.13363940068546903,772.1936067283813,1633.8676118741503,0.14186829985862903
310.0,728.2486427583212,0.002377864869290964,0.02092225796443085,501353.3645640146,0.3772650734167197,765.5316312300217,1678.538813183674,0.13983394328237408
320.0,728.2486427583212,0.0019694265364107216,0.02031249412430677,496764.1120098096,0.9866539775853608,758.8138562678148,1722.7756677244902,0.13782272642381022
330.0,728.2486427583212,0.0016553830291163956,0.01970604069159687,492104.62209435663,2.4080755550505577,752.0380118848562,1766.578175496599,0.1358315763616367
340.0,728.2486427583212,0.0014095703016032831,0.01910296215171647,487372.0147355637,5.520278767205446,745.2016784470185,1809.9463365000001,0.13385760651250572
350.0,728.2486427583212,0.0012140771473603807,0.018503325935398253,482563.213878558,11.953901004839842,738.3022726230975,1852.8801507346943,0.13189808541139833
360.0,728.2486427583212,0.0010563682789935145,0.01790720263445791,477674.9285784548,24.575799893313324,731.3370316415193,1895.3796182006806,0.12995040894064722
370.0,728.2486427583212,0.0009274946054485459,0.01731466623964174,472703.63168855355,48.18421424459548,724.3029955585353,1937.4447388979593,0.1280120752699783
380.0,728.2486427583212,0.0008209513158122752,0.016725794403494264,467645.5357748216,90.45682589940398,717.1969872234288,1979.075512826531,0.12608066188168202
390.0,728.2486427583212,0.0007319323877535243,0.01614066873167057,462496.56580475875,163.18328784649285,710.0155895659216,2020.2719399863952,0.12415380413701317
400.0,728.2486427583212,0.0006568336347740052,0.015559375106701325,457252.3280694105,283.79671962290115,702.7551197569175,2061.0340203775513,0.12222917489750232
410.0,728.2486427583212,0.0005929150555891272,0.014982004048922585,451908.0746870171,477.19632864489637,695.4115997022895,2101.3617540000005,0.12030446475160789
420.0,728.2486427583212,0.0005380673748971969,0.014408651120135913,446458.6628998251,777.8280092866045,687.9807222158702,2141.255140853742,0.11837736241516045
430.0,728.2486427583212,0.0004906480081786251,0.013839417376604884,440898.5082043797,1231.9645036604347,680.4578120758521,2180.714180938776,0.11644553487420287
440.0,728.2486427583212,0.0004493640832225234,0.013274409879270858,435221.5301401791,1900.1047001201728,672.8377809901821,2219.7388742551025,0.11450660682075227
450.0,728.2486427583212,0.0004131878659746829,0.012713742270647024,429421.08928848396,2859.3958378885286,665.115075270085,2258.329220802722,0.11255813889407476
460.0,728.2486427583212,0.0003812948301172711,0.012157535429808878,423489.9136842845,4205.975012184426,657.2836147216088,2296.485220581633,0.11059760417916382
469.99999999999994,728.2486427583212,0.00035301776655801304,0.011605918219352352,417420.01239526464,6057.128675175904,649.3367208925638,2334.206873591837,0.10862236232530656
480.0,728.2486427583212,0.00032781239965918685,0.011059028341286204,411202.5734381262,8553.180943448975,641.2670323282385,2371.494179833334,0.1066296305235276
490.0,728.2486427583212,0.00030523135607270343,0.010517013322763627,404827.84243752854,11859.042550777653,633.0664038545355,2408.3471393061227,0.10461645041158299
500.0,728.2486427583212,0.0002849042635883321,0.009980031657614049,398284.9774194765,16165.380482100554,624.7257860662415,2444.7657520102043,0.10257964974352657
510.0,728.2486427583212,0.00026652239503885053,0.009448254136190047,391561.8737740032,21689.4013930692,616.2350800718997,2480.7500179455787,0.10051579734523887
520.0,728.2486427583212,0.0002498267141783521,0.008921865404628243,384644.9515835082,28675.27733079561,607.5829610204554,2516.2999371122455,0.09842114944492418
530.0,728.2486427583212,0.00023459849017710638,0.008401065805994102,377518.8949903781,37394.27757601114,598.7566618398735,2551.415509510204,0.09629158487005554
540.0,728.2486427583212,0.00022065186675259717,0.007886073571029741,370166.3297675509,48144.70351461748,589.7417057020754,2586.096735139456,0.09412252576708882
550.0,728.2486427583212,0.00020782792877119326,0.007377127446949703,362567.4202976411,61251.75273586264,580.5215716080829,2620.3436140000003,0.09190883931701875
560.0,728.2486427583212,0.0001959899220749661,0.006874489881317932,354699.36004534754,77067.46310230868,571.0772715665674,2654.156146091837,0.08964471421703418
570.0,728.2486427583212,0.00018501936393693096,0.006378450918116726,346535.7191915039,95970.90707626351,561.3868091737205,2687.5343314149663,0.08732350320421892
580.0,728.2486427583212,0.00017481284045559547,0.005889333020323207,338045.5975476288,118368.82150299664,551.4244764589967,2720.4781699693885,0.08493751917000421
590.0,728.2486427583212,0.00016527932901735064,0.005407497116611544,329192.5071261094,144696.86931265405,541.1599260833277,2752.987661755102,0.0824777667182632
600.0,728.2486427583212,0.0001563379121520329,0.004933350293864014,319932.8715521447,175421.73867581252,530.5569249740854,2785.062806772109,0.079933582093092
610.0,728.2486427583212,0.00014791576523133282,0.004467355746697771,310213.9695582825,211044.2938996749,519.571645462157,2816.7036050204088,0.07729214000507321
620.0,728.2486427583212,0.000139946303898573,0.004010045893231774,299971.0499584339,252104.00297145147,508.15026658708194,2847.9100565000003,0.0745377618927563
630.0,728.2486427583212,0.0001323673640323541,0.0035620400507977543,289123.1728055032,299184.8815966946,496.2255138079517,2878.6821612108843,0.07165091863864499
640.0,728.2486427583212,0.00012511924757429828,0.003124068884012222,277567.0193164169,352923.2155443087,483.711503944271,2909.019919153062,0.06860674568587341
650.0,728.2486427583212,0.00011814237881399308,0.002697009285851185,265167.3189408373,414017.35507171834,470.49576364861286,2938.923330326531,0.06537274551207121
660.0,728.2486427583212,0.00011137412351854805,0.00228193605850249,251741.33778253774,483239.9204910829,456.42627739560027,2968.3923947312933,0.06190506251019522
670.0,728.2486427583212,0.00010474389000166905,0.001880202168567358,237032.23767842207,561452.820371353,441.289200405242,2997.4271123673475,0.0581420806628783
680.0,728.2486427583212,9.816456989530795e-05,0.0014935711100928677,220659.76275650947,649625.5679752928,424.7675020570133,3026.0274832346945,0.053992563546252134
690.0,728.2486427583212,9.151543763917024e-05,0.0011244534545937033,202019.31747293993,748857.4928264279,406.3560459433386,3054.193507333334,0.04931136271089731
700.0,728.2486427583212,8.460192432490265e-05,0.0007763802834466712,180043.6842405855,860404.5897054161,385.1601503933138,3081.925184663266,0.04384201483112008
710.0,728.2486427583212,7.70356782098895e-05,0.00045513164466189814,152498.79950408058,985711.9357339994,359.2960001198089,3109.22251522449,0.037046938128889456
720.0,728.2486427583212,6.767735504185328e-05,0.000172447162507722,112777.93977208516,1126452.8490002076,323.12491742094306,3136.085499017007,0.027333654076456812
728.2486427583212,728.2486427583212,4.3787081704371654e-05,0.0,0.0,1255532.1519237033,213.01969343939749,3157.9169111194374,0.0
