Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
200.0,575.7778704534722,0.0027117114438878617,0.03190888634033291,467962.9637098664,3.6950393860281774,842.9149049509907,847.9161955102044,0.13669024135509553
210.00000000000003,575.7778704534722,0.0020562499241435863,0.03087413596594731,463191.1455562045,11.125907593901221,835.4737122295085,902.5899854727202,0.134200683101123
220.0,575.7778704534722,0.0016099894067693255,0.029845653678778564,458337.7414244313,30.029764780279887,827.9533984252349,956.7584947188675,0.13176888377782459
230.0,575.7778704534722,0.0012944942378496937,0.028823576115891446,453399.0028342551,73.73006229785689,820.3503094154842,1010.4217232486468,0.12938689219745092
240.0,575.7778704534722,0.001064225074961196,0.02780804691981115,448370.8946111796,166.69152073478676,812.660512921519,1063.579671062058,0.12704762955145454
250.0,575.7778704534722,0.0008915179798974588,0.026799217316492735,443249.0636759397,350.5902088687673,804.8797682979124,1116.2323381591007,0.12474472374657491
260.0,575.7778704534722,0.0007589012745089334,0.025797246760137515,438028.80336271145,691.9144335932409,797.0034919976944,1168.3797245397755,0.12247237451207692
270.0,575.7778704534722,0.0006549616197065437,0.024802303654945103,432705.0124618728,1290.7960787032532,789.0267179354971,1220.0218302040819,0.12022524171690269
280.0,575.7778704534722,0.0005720198389404411,0.02381456616579133,427272.1480070423,2290.555276343901,780.9440518005586,1271.1586551520202,0.11799835120481826
290.0,575.7778704534722,0.000504772950995109,0.022834223132158965,421724.1706041958,3887.285795019082,772.7496181566556,1321.7901993835903,0.11578701376817774
300.0,575.7778704534722,0.00044947332879748136,0.021861475102537335,416054.48081883794,6338.742036678228,764.4369988932166,1371.9164628987926,0.11358675380232053
310.0,575.7778704534722,0.00040341732977290553,0.020896535510104966,410255.8447765402,9971.819731879606,755.9991612426418,1421.537445697626,0.11139324482113032
320.0,575.7778704534722,0.00036461800953175634,0.019939632015022243,404320.30666673015,15188.042093954562,747.4283731280798,1470.6531477800918,0.10920224944017674
330.00000000000006,575.7778704534722,0.0003315905094220777,0.01899100804436761,398239.08523364237,22466.649134216983,738.7161030188199,1519.2635691461896,0.1070095616911393
340.0,575.7778704534722,0.00030320820921839116,0.018050924568026643,392002.4505418136,32365.111258387267,729.8529006985285,1567.3687097959187,0.10481094964450043
350.0,575.7778704534722,0.00027860437267632085,0.01711966215820584,385599.57624570554,45517.119850020215,720.8282543260207,1614.96856972928,0.10260209629561505
360.0,575.7778704534722,0.0002571036656435357,0.01619752339240952,379018.3611726415,62628.32206615486,711.6304177906416,1662.0631489462726,0.10037853650620483
370.00000000000006,575.7778704534722,0.00023817367255926273,0.015284835675696058,372245.2120979735,84470.24606666823,702.246200491357,1708.6524474468977,0.09813558746680512
380.0,575.7778704534722,0.00022139003954381076,0.014381954579258503,365264.7769339224,111872.99561786393,692.6607090887629,1754.736465231154,0.09586826961280336
390.0,575.7778704534722,0.00020641105350822944,0.013489267820933582,358059.61384271324,145717.37596864186,682.8570271747466,1800.3152022990425,0.09357121411558254
400.0,575.7778704534722,0.00019295885220103862,0.012607200052197095,350609.77652206033,186927.14859849363,672.8158136896174,1845.3886586505625,0.09123855186539
410.00000000000006,575.7778704534722,0.0001808053561138249,0.011736218670141074,342892.2883197769,236462.1077124261,662.5147935331663,1889.9568342857149,0.08886377707937988
420.00000000000006,575.7778704534722,0.0001697616020527875,0.010876840948867591,334880.46667620284,295312.6356883018,651.9281029552953,1934.0197292044986,0.08643957600932549
430.0,575.7778704534722,0.00015966955061924373,0.010029642893640297,326543.04264684545,364496.33872927283,641.025435997707,1977.577343406914,0.08395760720018504
440.0,575.7778704534722,0.00015039570405361256,0.009195270380572199,317842.99453253305,445057.29845184786,629.7709131727286,2020.6296768929615,0.08140821354106723
