Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
270.0,709.9946437143561,0.0035263328520171227,0.027292438654224798,447448.4660994099,1.8614928907060049,882.4758130159837,1195.1926853608245,0.09347122599865156
280.0,709.9946437143561,0.002808512713302897,0.026536232024887287,443556.5255809583,4.603411127553588,875.6495837337995,1248.4526966589522,0.09209827809671105
290.0,709.9946437143561,0.0022837824623819867,0.02578392371922697,439608.0547659163,10.610541702500827,868.7631343256986,1301.160999772775,0.09074614492229076
300.0,709.9946437143561,0.0018906842804757454,0.025035585752112052,435600.85658451123,22.962113061388514,861.8141068474364,1353.317594702293,0.08941232584247714
310.0,709.9946437143561,0.0015898079282078911,0.02429129325353636,431532.59246286453,46.9529706019999,854.7999922584708,1404.922481447507,0.08809451377209737
320.0,709.9946437143561,0.001355117928781307,0.02355112468444193,427400.7694125043,91.22227017241293,847.7181166739231,1455.9756600084156,0.08679056443053353
330.0,709.9946437143561,0.0011689547952881965,0.022815162073399876,423202.72557757783,169.2146467880033,840.5656259762346,1506.47713038502,0.08549846983249168
340.0,709.9946437143561,0.0010190552812747162,0.02208349127676641,418935.61400966963,300.97768967890516,833.3394685418863,1556.4268925773192,0.08421633514847052
350.0,709.9946437143561,0.0008967219730747223,0.021356202265338266,414596.38439859264,515.2688205290483,826.0363757943769,1605.8249465853144,0.08294235823387225
360.00000000000006,709.9946437143561,0.0007956681431522955,0.020633389441016625,410181.76243710116,851.912444367289,818.652840241037,1654.6712924090048,0.08167481124827171
370.0,709.9946437143561,0.0007112707765099079,0.01991515198756628,405688.22643597587,1364.3186992759186,811.185090585835,1702.9659300483904,0.08041202387770599
380.0,709.9946437143561,0.0006400767553850426,0.019201594260249612,401111.9807305075,2122.0521119665323,803.6290634301034,1750.7088595034713,0.07915236773959974
390.0,709.9946437143561,0.0005794697736702907,0.018492826219950364,396448.92532639275,3213.324884073925,795.9803709741406,1797.9000807742477,0.07789424159671741
400.0,709.9946437143561,0.0005274414992627841,0.017788963918413055,391694.62111765024,4747.28701210253,788.2342640098434,1844.5395938607194,0.0766360570363955
410.0,709.9946437143561,0.0004824316850405038,0.017090130042456332,386844.24986508046,6855.994210244239,780.3855893411594,1890.6273987628865,0.07537622428608214
420.0,709.9946437143561,0.0004432147080808587,0.016396454526528017,381892.56794269435,9695.953613472884,772.4287405763554,1936.163495480749,0.07411313783664582
430.0,709.9946437143561,0.00040881789419559584,0.015708075244831875,376833.85263028,13449.174452383304,764.3576009919738,1981.1478840143068,0.07284516153073975
440.0,709.9946437143561,0.0003784619384742715,0.015025138796566943,371661.839437862,18323.68365607445,756.165476856896,2025.5805643635597,0.07157061274337403
450.0,709.9946437143561,0.00035151690540132153,0.014347801400711416,366369.6485718047,24553.50176546683,747.8450192043179,2069.461536528508,0.07028774523316499
460.0,709.9946437143561,0.0003274693593669988,0.013676229920424495,360949.6981646297,32398.109845692416,739.3881315196861,2112.7908005091517,0.06899473017132811
470.0,709.9946437143561,0.0003058975448209899,0.013010603041767163,355393.60125220794,42141.470865752686,730.7858601320038,2155.568356305491,0.0676896347550954
480.0,709.9946437143561,0.0002864524546227898,0.012351112637373231,349692.0426379091,54090.697407854655,722.0282631956395,2197.7942039175255,0.06637039767367077
490.0,709.9946437143561,0.0002688432512767879,0.01169796535337656,343834.6306552719,68574.48035071343,713.1042529461524,2239.4683433452556,0.06503480050468187
500.0,709.9946437143561,0.0002528259376847276,0.01105138446793269,337809.7173157136,85941.40975095451,704.0014042855963,2280.5907745886807,0.063680433857717
510.0,709.9946437143561,0.0002381944755772201,0.010411612082936264,331604.17823997466,106558.32951857569,694.7057205227785,2321.1614976478013,0.062304656719978514
520.0,709.9946437143561,0.00022477376256175799,0.009778911728282103,325203.1408744006,130808.87213183827,685.2013439972447,2361.180512522617,0.06090454695398395
530.0,709.9946437143561,0.0002124140303086768,0.009153571482079825,318589.6454113586,159092.31942934697,675.470194950683,2400.6478192131285,0.05947684018271502
540.0,709.9946437143561,0.00020098633521774923,0.008535907743332911,311744.21698833077,191822.93158267334,665.491515754619,2439.5634177193347,0.05801785327167154
