Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
220.0,640.9947923622622,0.0053741831578322016,0.04336876650070017,436576.9357518447,1.0818264957718784,1015.7208428280854,627.1349548259302,0.11786848686089621
230.0,640.9947923622622,0.004005473312199349,0.04211303831796407,432606.89249261067,3.278188587180848,1007.581466557556,683.6576690516205,0.1159345361240447
240.0,640.9947923622622,0.0030847638452443753,0.04086408204604161,428576.49787614256,8.97405949917062,999.3663232511539,739.5839829171666,0.11404261790119578
250.00000000000003,640.9947923622622,0.0024416420745285864,0.039622028697793014,424483.29428182775,22.474123762813903,991.0723070215918,794.9138964225689,0.11218754257958316
260.0,640.9947923622622,0.001977791540473136,0.03838701522804519,420324.65804684017,52.03840114307141,982.6961031809732,849.6474095678269,0.11036465511179967
270.0,640.9947923622622,0.0016339055264244977,0.03715918496575215,416097.7835546605,112.41612533924565,974.2341682838072,903.784522352941,0.10856974268335298
280.0,640.9947923622622,0.001372804910266216,0.035938688090056986,411799.6653245435,228.320753934719,965.6827076655266,957.3252347779109,0.10679895851835432
290.0,640.9947923622622,0.0011703872356737192,0.03472568215605229,407427.07778784767,438.8885712777714,957.037650083099,1010.2695468427369,0.10504875818593444
300.0,640.9947923622622,0.0010105603216030933,0.03352033267698821,402976.552377339,803.0556276419104,948.2946189893961,1062.6174585474187,0.10331584561973169
310.0,640.9947923622622,0.0008822966198678837,0.03232281377081834,398444.351482275,1405.6714671463521,939.4488998811155,1114.3689698919566,0.10159712667931445
320.0,640.9947923622622,0.0007778620845425683,0.031133308880347436,393826.4387317248,2364.061913447731,930.4954030468209,1165.5240808763504,0.09988966853168499
330.0,640.9947923622622,0.0006917188790890388,0.02995201157790915,389118.4449565478,3834.673911076586,921.4286209012207,1216.0827915006,0.09819066345797584
340.0,640.9947923622622,0.0006198270671010278,0.02877912646752668,384315.6290406783,6019.394840667989,912.2425789165703,1266.0451017647056,0.09649739592579236
350.0,640.9947923622622,0.0005591893386171621,0.02761487019999024,379412.8326967836,9171.141979589323,902.9307789419016,1315.4110116686672,0.09480721193220705
360.0,640.9947923622622,0.0005075476192836808,0.026459472619341864,374404.42797927815,13598.363334827192,893.4861334222126,1364.1805212124848,0.09311748972994927
370.0,640.9947923622622,0.0004631768292459346,0.02531317806305042,369284.2560646116,19668.171922534268,883.9008886746329,1412.353630396158,0.0914256111083102
380.0,640.9947923622622,0.0004247421124327257,0.02417624684289868,364045.5554650787,27807.941112012762,874.1665349221648,1459.9303392196875,0.08972893241483412
