Temperature (K),Critical Temperature (K),Viscosity (Pa*s),Surface Tension (N/m),Heat of Vaporization (J/kg),Vapor Pressure (Pa),Density (kg/m^3),Specific Heat (J/kg/K),Thermal Conductivity (W/m/K)
260.0,739.0203996729108,0.0035751549540101245,0.03997712815975665,642609.8359218636,6.940509802919923,1039.392546292592,896.5212683545919,0.1509541354333388
270.0,739.0203996729108,0.002857285509947067,0.03895948924549058,637478.7371918025,15.92479862784092,1032.23951877061,932.7943412499999,0.14880982779132473
280.0,739.0203996729108,0.0023320430710709237,0.03794666083105085,632279.3531390564,34.25007437758082,1025.0270743806223,968.6502897831633,0.14670419508164062
290.0,739.0203996729108,0.00193805839430151,0.03693872424268697,627009.2570684268,69.52552832349309,1017.7530910660263,1004.0891139540818,0.14463303210187425
300.0,739.0203996729108,0.0016360385257736944,0.03593576401939887,621665.8796755085,134.00124468011103,1010.4153226456883,1039.1108137627552,0.14259250338697804
310.0,739.0203996729108,0.0014000497705036919,0.03493786811577255,616246.4972008544,246.49248101973518,1003.0113885271437,1073.7153892091835,0.14057908725569426
320.0,739.0203996729108,0.0012125098384023919,0.03394512812263844,610748.2182987786,434.70305205415616,995.5387623045552,1107.9028402933675,0.13858952835635674
330.0,739.0203996729108,0.0010612102031556914,0.03295763950758105,605167.9694470417,737.9018483779554,987.9947590906856,1141.6731670153063,0.1366207970275325
340.0,739.0203996729108,0.0009374904949823868,0.031975501877613055,599502.4786953146,1209.8703277717786,980.3765214075099,1175.026369375,0.134670054135165
350.0,739.0203996729108,0.0008350880247794993,0.03099881926666268,593748.2575165115,1922.007806773744,972.681003430762,1207.9624473724489,0.1327346203100689
360.0,739.0203996729108,0.0007493945908046444,0.03002770045091489,587901.5804845828,2966.4591782698776,964.9049533485265,1240.481401007653,0.1308119487089134
370.0,739.0203996729108,0.0006769655012016042,0.02906225929550972,581958.4624536656,4459.118605930406,957.0448935517124,1272.583230280612,0.12889960057334787
380.0,739.0203996729108,0.0006151885400585695,0.028102615136648502,575914.632854631,6542.363643971139,949.0970983231078,1304.2679351913264,0.1269952229765404
389.99999999999994,739.0203996729108,0.0005620565820617483,0.027148893203809026,569765.5066536114,9387.386557830638,941.0575686296402,1335.5355157397958,0.12509652823192716
400.0,739.0203996729108,0.0005160087182484747,0.026201225087547263,563506.1514298747,13196.011713350656,932.9220035466764,1366.3859719260204,0.12320127450095962
410.0,739.0203996729108,0.00047581749793910294,0.025259749259294747,557131.249923401,18201.917338208284,924.6857677501832,1396.81930375,0.12130724717891647
420.0,739.0203996729108,0.00044050773639037183,0.024324611650683448,550635.0572704645,24671.213949246197,916.3438543977609,1426.8355112117347,0.11941224066288655
430.0,739.0203996729108,0.00040929726526513986,0.02339596630129093,544011.3519815888,32902.36747214803,907.8908425770011,1456.4345943112244,0.11751404011515243
440.0,739.0203996729108,0.0003815531565276815,0.022473976085357356,537253.3795114423,43225.490000678634,899.3208483214631,1485.6165530484693,0.11561040282869847
450.0,739.0203996729108,0.00035675900370546926,0.021558813530059767,530353.7870126421,56001.05314075141,890.6274679704082,1514.3813874234693,0.11369903877867575
460.0,739.0203996729108,0.00033449020305517245,0.020650661740438513,523304.54753911565,71618.10639491482,881.8037123643811,1542.7290974362245,0.11177758990249714
470.0,739.0203996729108,0.00031439508961863334,0.019749715449189135,516096.8715481262,90492.10507274323,872.8419300059959,1570.6596830867345,0.10984360758856532
480.0,739.0203996729108,0.0002961804045600473,0.018856182213434068,508721.10301401967,113062.4683104737,863.7337168483153,1598.173144375,0.10789452776448562
490.0,739.0203996729108,0.00027959999891292764,0.01797028378550922,501166.59677087213,139789.99796847822,854.4698097667163,1625.2694813010203,0.10592764285270852
500.0,739.0203996729108,0.0002644459782881004,0.017092257691056056,493421.5727894224,171154.2938465969,845.0399599750996,1651.9486938647958,0.1039400696943802
510.0,739.0203996729108,0.0002505417045885578,0.016222359055735876,485472.9418869108,207651.3004941173,835.4327815945157,1678.2107820663266,0.10192871231569138
520.0,739.0203996729108,0.00023773622174265272,0.015360862732278064,477306.0957539795,249791.11675729437,825.6355691730089,1704.055745905612,0.0998902181034469
