Index,Component,Mass Fraction,Mole Fraction,Molecular Weight (kg/mol)
0,Toluene,0.0007006305675107598,0.0011066615816454472,0.092
1,C2-Benzene,0.017916124512060854,0.024561324698837223,0.106
2,C3-Benzene,0.045440896807126416,0.05502742969305599,0.12
3,C4-Benzene,0.032729456510859775,0.035493397678274655,0.134
4,C5-Benzene,0.02732459213291963,0.026829065911782864,0.148
5,C6-Benzene,0.01761585426884196,0.015801644029985077,0.162
6,C7-Benzene,0.009808827945150636,0.008098750665678044,0.176
7,C8-Benzene,0.004704233810429386,0.0035978982549134684,0.19
8,C9-Benzene,0.0015013512160944851,0.0010694628730187092,0.20400000000000001
9,Diaromatic-C10,0.0011009908918026225,0.0012499347328406164,0.128
10,Diaromatic-C11,0.00440396356721049,0.00450680692404504,0.14200000000000002
11,Diaromatic-C12,0.006305675107596837,0.0058738191641181416,0.156
12,Diaromatic-C13,0.005104594134721249,0.004363408521916334,0.17
13,Cycloaromatic-C09,0.0014012611350215196,0.0017256417883284936,0.11800000000000001
14,Cycloaromatic-C10,0.004504053648283456,0.004958418774904925,0.132
15,Cycloaromatic-C11,0.02432188970073066,0.02420795138871391,0.146
16,Cycloaromatic-C12,0.022119907917125415,0.020089860069656455,0.16
17,Cycloaromatic-C13,0.014613151836652988,0.01220416942911465,0.17400000000000002
18,Cycloaromatic-C14,0.004203783405064558,0.003249346771639823,0.188
19,C07-Isoparaffin,0.00010009008107296567,0.00014544695073054445,0.1
20,C08-Isoparaffin,0.003102792513261936,0.003955136379514806,0.114
21,C09-Isoparaffin,0.041237113402061855,0.04681573726639399,0.128
22,C10-Isoparaffin,0.06635972375137623,0.06790938615095138,0.14200000000000002
23,C11-Isoparaffin,0.050245220698628766,0.04680408286329059,0.156
24,C12-Isoparaffin,0.03212891602442198,0.027463806579120453,0.17
25,C13-Isoparaffin,0.029526573916524874,0.023318940470386205,0.184
26,C14-Isoparaffin,0.023921529376438797,0.01755647536595966,0.198
27,C15-Isoparaffin,0.0166149534581123,0.011388770670410556,0.212
28,C16-Isoparaffin,0.008707837053348013,0.005599064032547507,0.226
29,C17-Isoparaffin,0.0019017115403863478,0.0011514550266168103,0.24
30,C18-Isoparaffin,0.0008007206485837253,0.0004581006322221872,0.254
31,C19-Isoparaffin,0.0,0.0,0.268
32,C20-Isoparaffin,0.0,0.0,0.28200000000000003
33,n-C07,0.0,0.0,0.1
34,n-C08,0.0067060354318887,0.008548197981531998,0.114
35,n-C09,0.04423981583425083,0.050224650174141135,0.128
36,n-C10,0.04734260834751277,0.048448174433484176,0.14200000000000002
37,n-C11,0.03443098788910019,0.032072917340581604,0.156
38,n-C12,0.024922430187168453,0.021303700430532688,0.17
39,n-C13,0.019317385647082373,0.015256120375540803,0.184
40,n-C14,0.013111800620558504,0.00962300532611178,0.198
41,n-C15,0.007907116404764289,0.005419957126279723,0.212
42,n-C16,0.0038034230807726956,0.002445568198124199,0.226
43,n-C17,0.000900810729656691,0.0005454260652395417,0.24
44,n-C18,0.00020018016214593134,0.0001145251580555468,0.254
45,C07-Monocycloparaffin,0.0019017115403863478,0.0028198898611023924,0.098
46,C08-Monocycloparaffin,0.05815233710339305,0.07545060569146993,0.112
47,C09-Monocycloparaffin,0.052647382644379945,0.06071833022560824,0.126
48,C10-Monocycloparaffin,0.045841257131418275,0.047581931024706675,0.14
49,C11-Monocycloparaffin,0.02822540286257632,0.02663379227663217,0.154
50,C12-Monocycloparaffin,0.025022520268241418,0.02164389147775959,0.168
51,C13-Monocycloparaffin,0.015313782404163747,0.012227133770205111,0.182
52,C14-Monocycloparaffin,0.0065058552697427685,0.004823495815043566,0.196
53,C15-Monocycloparaffin,0.00020018016214593134,0.0001385209054576614,0.21
54,C16-Monocycloparaffin,0.0,0.0,0.224
55,C17-Monocycloparaffin,0.0,0.0,0.23800000000000002
56,C08-Dicycloparaffin,0.008607746972275048,0.011371307057115294,0.11
57,C09-Dicycloparaffin,0.012110899809828846,0.014192807289028934,0.124
58,C10-Dicycloparaffin,0.010509458512661395,0.011066615816454468,0.138
59,C11-Dicycloparaffin,0.008007206485837253,0.007655102670028655,0.152
60,C12-Dicycloparaffin,0.0027024321889700734,0.0023657034154968073,0.166
61,C13-Dicycloparaffin,0.000900810729656691,0.0007272347536527223,0.18
62,C14-Dicycloparaffin,0.0,0.0,0.194
63,C15-Dicycloparaffin,0.0,0.0,0.20800000000000002
64,C10-Tricycloparaffin,0.0,0.0,0.136
65,C11-Tricycloparaffin,0.0,0.0,0.15
66,C12-Tricycloparaffin,0.0,0.0,0.164
